No,領域,タイプ名,猫ネーム,キャッチ,家猫化ポイント,X,Y,チュール,キャットタワー,改善策,副作用,出典,URL,根拠区分,根拠要約,座標根拠,根拠レベル,出典2,URL2
1,経済・労働,パラサイト・シングル(親密圏依存),実家ぬくぬく猫,親元で快適、自立を先送り,飼い主=親/家庭。生活費と自己決定という自立の負荷を手放す,8,7,「自分の城を持つ快感」を見せる(家事・家計の一部移譲で小さな自立成功体験),安心できる実家的環境を残しつつ半歩外に出られる中間的住まい(シェアハウス等),生活費の一部実負担や家事分担から始め、自立を「喪失」でなく「自由の獲得」と再定義する。シェアハウスや二世帯の段階的分離で、安全基地を残しながら自己決定の範囲を少しずつ広げる。家計管理・契約・行政手続きなど生活運営の当事者経験を積ませ、親も先回り支援を意図的に減らすことで、依存を自立へ緩やかに移行させる。,急な自立要求は反発・断絶や経済的困窮を招く恐れ(対策:段階設計と相談窓口・公的就労支援の併用),山田昌弘『パラサイト・シングルの時代』(1999)/J.Bowlby 愛着理論,https://ja.wikipedia.org/wiki/パラサイトシングル,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=8、Y=7を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
2,経済・労働,ニート(NEET),次の一歩まち猫,就労・就学・訓練のいずれもしない,飼い主=家族/社会。働いて稼ぐ回路を手放す,6,8,「いきなり正社員でなくていい」短時間・体験就労という低い入口,評価や競争の圧が低く、失敗が許される小さな現場,中間的就労や短時間アルバイト、地域の役割など「低い入口」から社会接点を再構築する。就労=フルタイム正規という思い込みを外し、自己効力感を小さな成功で積み上げる。サポステ等の伴走支援、職業訓練、デジタルスキル習得を組み合わせ、本人のペースで段階的に労働市場へ橋渡しする。,焦らせると自己否定を強め長期化する恐れ(対策:本人ペース尊重と伴走型支援、家族支援の併用),英Social Exclusion Unit『Bridging the Gap』(1999)/玄田有史・曲沼美恵『ニート』(2004),https://ja.wikipedia.org/wiki/ニート,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=6、Y=8を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
3,経済・労働/心理,ひきこもり,おうち安心猫,半年以上、自宅中心の生活,飼い主=家庭。社会関係と外界での自律を手放す,7,9,顔出し不要のオンライン接点という「安全な細い糸」,匿名性が高く、いつでも退出できる低刺激の安全空間,まずオンラインのゲームやチャット等、顔を出さずに済む弱い接点から始め、安心できる範囲を少しずつ外界へ広げる。本人を「問題」でなく回復の主体と捉え、訪問支援・居場所・ピアサポートを組み合わせる。家族の孤立も防ぎ、就労より先に「人とつながり直す」段階を丁寧に設計する。,性急な外出促しは恐怖反応・再閉じこもりを招く(対策:任意性の徹底と専門機関連携、家族支援),内閣府『こども・若者の意識と生活に関する調査』(2023公表)推計 約146万人(15〜64歳)※要再確認,https://www.cfa.go.jp/resources/research/chilren-attitudes,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=7、Y=9を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
4,福祉・ケア,中高年ひきこもり(8050問題),おうち長期滞在猫,高齢の親が中年の子を扶養,飼い主=高齢親。経済的自立と将来設計を手放す,6,9,「親なき後」の不安を具体的支援につなぐ安心情報,親子とも責められない、伴走者がいる相談環境,親の高齢化・死後を見据え、生活保護・障害福祉・自立支援など公的制度に早期接続する。本人と高齢親の双方を支える「世帯まるごと支援」で孤立と困窮の連鎖を断つ。就労が難しくても、日中の居場所や軽作業など社会との細い接点を確保し、生活の自律度を少しでも保つ。,親が支援を拒むと介入困難・問題の潜在化(対策:地域包括・社協のアウトリーチと信頼構築),内閣府『生活状況に関する調査』(2019)推計 約61万人(40〜64歳)※要再確認,https://warp.ndl.go.jp/web/20230703141614/www8.cao.go.jp/youth/kenkyu/life/h30/pdf-index.html,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=6、Y=9を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
5,経済・労働,FIRE早期リタイア層,自由時間満喫猫,資産運用益で早期に労働から退出,飼い主=市場。労働を通じた社会参加を手放す,9,6,「お金より暇の使い道」=社会的役割の提示,経済的自由を保ちつつ自発的に貢献できる緩い場,労働から退いても社会的役割や貢献の回路を意図的に持つ。市場収益への一極依存はリスクなので、スキル・人的ネットワーク・健康という非金融資本も維持する。プロボノ、地域活動、創作など「稼ぐためでない活動」に主体的に関わり、自由を受動的消費でなく能動的創造に向ける。,役割喪失で生きがい低下・市場暴落時の生活不安(対策:活動の多元化と資産配分の保守化),Vicki Robin & Joe Dominguez『Your Money or Your Life』(1992),https://en.wikipedia.org/wiki/FIRE_movement,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=9、Y=6を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
6,思想・未来,ベーシックインカム待望者,安心ベース待ち猫,無条件給付による不労生活を望む,飼い主=国家。労働による自立の前提を手放す,2,7,「給付は自由の原資」という能動的な再定義,最低限の安心が保障され、挑戦の失敗が許される環境,給付を「働かない口実」でなく「挑戦・学び・自治の原資」と捉え直す。所得保障があるからこそ可能になる起業・創作・地域活動・ケアなど、市場外の価値創造に主体的に向かう設計を持つ。制度の是非を論じるだけでなく、自分が担い手として何をするかという問いを併せ持つ。,制度実現を前提にした生活設計は不確実(対策:給付に依らない自立基盤も並行確保),Philippe Van Parijs『Real Freedom for All』(1995),https://en.wikipedia.org/wiki/Basic_income,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=2、Y=7を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
7,経済・労働,ぶら下がり社員(社内失業),ひなたで充電猫,成果を出さず雇用に安住,飼い主=企業。市場で通用する力の維持を手放す,8,8,「市場で通用する自分」を取り戻す学び直しの機会,役割と裁量が明確で、貢献が見える化される職場,リスキリングや社内公募、副業解禁などで市場価値を再構築し、雇用に守られる安心を能動的貢献へ転換する。意欲低下は配置・評価のミスマッチが原因のことも多く、役割の再設計と上司との対話が鍵。学びの場と小さな成功体験を用意し、「居るだけ」から「動く」へ橋渡しする。,追い出し圧力と受け取られると士気低下・法的トラブル(対策:支援的な再配置と納得感ある対話),リクルートワークス研究所『社内失業』の推計・分析,https://www.works-i.com/,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=8、Y=8を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
8,デジタル,ギグワーカー(プラットフォーム依存),アプリ活用猫,アプリ指示で配車・配達して稼ぐ,飼い主=プラットフォーム。労働条件の自己決定を手放す,9,5,「複数の餌場」=収入源とつながりの分散,評価が透明で、交渉余地と仲間がいる労働環境,単一プラットフォームへの依存を避け、複数の収入源や技能を持つ。労働者協同組合やギグワーカーの団体に加わり、報酬・評価の不透明さに交渉力を持つ。アルゴリズム管理の仕組みを理解し、データや評価を自分の資産として蓄積・移転できる形を意識して働く。,分散は収入の不安定化も招く(対策:社会保険・最低保障の整備と複業ポートフォリオ設計),ILO『World Employment and Social Outlook』(2021)プラットフォーム労働,https://en.wikipedia.org/wiki/Gig_worker,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=9、Y=5を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
9,デジタル,レコメンド任せ(フィルターバブル),おすすめ発見猫,視聴・購買をAIのおすすめに委ねる,飼い主=推薦システム。自分で選ぶ力を手放す,10,7,「自分で見つけた」発見の喜びを取り戻す体験,多様な情報に偶然出会える、回遊できる情報環境,情報源を意図的に多様化し、推薦に流されず自分で探索する習慣を持つ。アルゴリズムの仕組みと嗜好が強化される構造を理解し、あえて普段見ない分野・反対意見に触れる。一次情報や信頼できる複数メディアを定点確認し、「選ばされる」から「自ら選ぶ」へ主導権を取り戻す。,多様化は情報過多・疲労も生む(対策:信頼できる定点情報源を絞り確認時間を区切る),Eli Pariser『The Filter Bubble』(2011),https://en.wikipedia.org/wiki/Filter_bubble,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=10、Y=7を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
10,デジタル,SNS承認依存,いいね励み猫,いいね・フォロワーで自己価値を測る,飼い主=注意経済。自己評価の主導権を手放す,10,7,「数字に左右されない自己評価軸」をくれる承認体験,反応より関係の質が重視される、安心できる小さな場,いいね・フォロワー数から距離を置き、内発的な達成基準や対面の関係に価値の重心を移す。利用時間や通知を制御し、比較で自尊心が削られる構造を自覚する。発信を「承認獲得」でなく「表現・貢献」と捉え直し、数字に依らない自己肯定の源泉(役割・趣味・関係)を複数持つ。,急な断SNSは孤立感・離脱困難(対策:段階的な利用設計と代替コミュニティの確保),Tristan Harris/Center for Humane Technology の問題提起,https://www.humanetech.com/,既存類型,既存の出典・研究・概念を参照して設計した家猫類型。出典は現象や概念を考えるための参考資料であり、この猫タイプ自体を医学・心理学的に確定するものではない。,既存設計のX=10、Y=7を継承。Xは公的支援・共同側〜私的自己完結側、Yはまち猫〜いえネコの相対軸として置いた設計値で、統計推定値ではない。,C:既存出典（個別精査推奨）,,
